id,valeur_NO2,valeur_CO,valeur_O3,valeur_PM10,valeur_PM25,2_wheeler_motor,4_wheeler_motor,bikes_scooters
2023-01-13 21,25,0.226,45.7,20.2,13.2,424,86,292
2023-01-13 22,21.6,0.207,47,20.4,12.4,348,20,318
2023-01-13 23,19.5,0.2,48,16.6,9.9,267,31,342
2023-01-14 00,19.3,0.19,46.5,10.6,7,216,51,249
2023-01-14 01,20.6,0.19,39.7,6.2,5.2,161,34,233
2023-01-14 02,17,0.17,42.9,5.1,4.1,56,56,111
2023-01-14 03,10,0.138,60.3,6.5,4.2,71,56,69
2023-01-14 04,8.2,0.127,63.7,11.3,6.4,68,28,107
2023-01-14 05,8.3,0.127,65.8,12.2,6.9,70,5,37
2023-01-14 06,9.3,0.131,66.4,10.2,5.9,80,31,24
2023-01-14 07,10.8,0.149,63.6,9.3,5.7,109,77,98
2023-01-14 08,11.1,0.156,60.8,7.9,4.7,153,55,144
2023-01-14 09,15,0.169,55.4,7.1,5.2,296,78,304
2023-01-14 10,13.7,0.185,54.7,6.6,5,313,51,604
2023-01-14 11,13.2,0.163,54.2,7.2,5.6,529,37,202
2023-01-14 12,14.9,0.173,49.8,7.1,5.5,449,39,446
2023-01-14 13,13.2,0.167,49.1,7.5,5.3,473,43,383
2023-01-14 14,15.4,0.179,45.5,6.8,5.8,213,38,551
2023-01-14 15,16.7,0.171,44.2,5,4.1,327,42,463
2023-01-14 16,17.2,0.182,42,5.1,4.1,413,62,446
2023-01-14 17,20,0.214,39.5,5.3,4.1,477,61,503
2023-01-14 18,20.3,0.202,40.5,6.4,5.7,345,25,573
2023-01-14 19,16.3,0.156,61.9,4.4,3.2,349,33,192
2023-01-14 20,17.4,0.172,61.9,4.9,3.8,165,39,209
2023-01-14 21,14.1,0.16,65.5,4.9,3.8,149,63,165
2023-01-14 22,11.6,0.139,74,3.3,2.3,195,39,165
2023-01-14 23,12.9,0.144,72.3,3,2.2,132,42,120
2023-01-15 00,12.3,0.135,70.7,3.3,2.4,89,56,84
2023-01-15 01,13.2,0.139,66.7,3.4,2.3,104,47,78
2023-01-15 02,10.8,0.131,67.9,3.2,2,64,37,22
2023-01-15 03,7.4,0.126,69.1,3.4,2.1,34,33,28
2023-01-15 04,7.6,0.125,70,3.3,1.9,50,37,57
2023-01-15 05,6.7,0.123,73.2,3.6,1.7,68,7,48
2023-01-15 06,8.8,0.124,71.2,4.1,1.8,35,47,52
2023-01-15 07,13.2,0.133,66.1,3,1.6,81,57,142
2023-01-15 08,12.3,0.135,63.1,5.6,2.6,156,53,209
2023-01-15 09,12.9,0.144,63.1,7.5,3.8,136,66,502
2023-01-15 10,10.2,0.139,66.7,8.6,4.3,187,62,514
2023-01-15 11,10.9,0.144,65.9,10.2,4.8,252,40,301
2023-01-15 12,10.4,0.141,67.5,10,4.7,439,57,609
2023-01-15 13,10.8,0.136,68.3,9.3,4.6,380,53,574
2023-01-15 14,12.2,0.142,66.8,8.9,4.5,368,57,431
2023-01-15 15,14.4,0.157,64,10.7,4.9,567,77,555
2023-01-15 16,17.6,0.169,60.4,9.7,4.9,492,83,378
2023-01-15 17,17.3,0.172,60.5,9,5,165,76,736
2023-01-15 18,17.3,0.175,61.9,8.2,5.3,329,56,362
2023-01-15 19,18.4,0.198,58.3,10.4,7.4,278,42,101
2023-01-15 20,17.5,0.198,56.3,10.7,7.5,233,59,132
2023-01-15 21,13.6,0.182,59.6,9.5,6.4,176,39,136
2023-01-15 22,9.3,0.155,65.1,7.6,4.5,154,43,107
2023-01-15 23,7.1,0.139,67.3,7.7,4.2,69,48,68
2023-01-16 00,7,0.136,66.8,7.6,4.2,37,19,41
2023-01-16 01,5.2,0.125,69.8,6.5,3.7,54,16,13
2023-01-16 02,4.5,0.12,69.3,5.4,3.2,41,25,17
2023-01-16 03,5.2,0.12,69.2,2.9,1.7,42,16,13
2023-01-16 04,7.2,0.124,68.4,1.4,0.8,66,22,46
2023-01-16 05,12.5,0.135,64,3.7,1.7,65,67,76
2023-01-16 06,15.4,0.148,65.2,5.7,3.1,225,75,300
2023-01-16 07,18.4,0.177,62.2,5.2,3.1,643,117,1290
2023-01-16 08,19.8,0.178,59.6,4.7,2.2,958,66,630
2023-01-16 09,22.7,0.161,56.1,3.5,1.2,333,94,159
2023-01-16 10,22.4,0.166,49.9,6.6,2.1,304,31,146
2023-01-16 11,17.6,0.163,55.9,4.1,1.6,558,78,264
2023-01-16 12,17.5,0.185,58.8,3.8,2,415,81,283
2023-01-16 13,18.3,0.199,60.2,8.8,4.2,467,144,340
2023-01-16 14,18.3,0.176,57.1,11.5,4.8,407,69,398
2023-01-16 15,20.6,0.171,50.6,6.5,3.4,493,109,311
2023-01-16 16,22.9,0.18,48.1,6.5,3.8,519,119,843
2023-01-16 17,26.7,0.198,44,6.5,4,478,101,946
2023-01-16 18,31.8,0.228,39.1,7.7,4.1,515,52,884
2023-01-16 19,32.3,0.231,38.8,8,5.6,401,71,483
2023-01-16 20,23.6,0.201,47.7,6.7,4.4,48,22,221
2023-01-16 21,24.6,0.242,45.4,6.8,5.4,244,61,303
2023-01-16 22,24.6,0.243,40.2,9.9,7.6,249,45,181
2023-01-16 23,22.2,0.227,41.6,9.4,6.5,121,55,102
2023-01-17 00,21.4,0.207,42.7,8.6,5.7,80,24,15
2023-01-17 01,24.8,0.242,37.1,7.9,5.7,52,12,22
2023-01-17 02,27.3,0.226,31.6,8.2,6.1,24,31,7
2023-01-17 03,41.8,0.273,13.6,11.2,8.7,19,15,27
2023-01-17 04,47.1,0.269,8.9,11.3,8.9,57,37,28
2023-01-17 05,46.1,0.281,7.4,11.5,9.3,58,46,98
2023-01-17 06,46,0.277,7.1,11.1,8.5,293,98,169
2023-01-17 07,53,0.324,3.5,12.8,8.8,559,74,391
2023-01-17 08,48.2,0.288,8.9,16.8,10.6,423,70,1600
2023-01-17 09,44.8,0.291,15.4,19.9,12.1,532,82,561
2023-01-17 10,39.2,0.254,23.8,21.5,12.3,467,84,423
2023-01-17 11,34.2,0.222,32.5,17.1,10.5,542,100,456
2023-01-17 12,26,0.207,37.5,16.5,11.5,592,72,250
2023-01-17 13,30.9,0.208,32.8,17.2,11.1,334,77,330
2023-01-17 14,33.3,0.209,30.6,14.9,9.4,703,9,456
2023-01-17 15,31.7,0.216,31.2,15.3,10.4,448,120,174
2023-01-17 16,29.3,0.216,34,14.8,10.3,299,93,626
2023-01-17 17,30,0.228,34.8,14.1,10.5,418,78,1375
2023-01-17 18,27.5,0.228,38.4,14.9,10.8,549,52,1332
2023-01-17 19,29.3,0.236,34.4,16.5,12.9,248,99,327
2023-01-17 20,25,0.234,32,19,16.3,343,21,46
2023-01-17 21,29.2,0.267,26.7,20.2,17.8,321,49,328
2023-01-17 22,31.6,0.245,25.4,20.1,17.9,128,15,239
2023-01-17 23,23.2,0.223,35.6,17.7,15.9,148,50,101
2023-01-18 00,25.4,0.227,34.2,18.1,14.2,78,10,37
2023-01-18 01,25.5,0.238,32.5,17.3,13.2,58,26,28
2023-01-18 02,32.4,0.232,26.9,15.2,11,29,31,11
2023-01-18 03,36.7,0.245,22.4,12.9,9.6,37,6,11
2023-01-18 04,31,0.255,23.7,15.2,12.2,74,28,54
2023-01-18 05,41.6,0.293,14.5,14.1,11.6,57,64,117
2023-01-18 06,51.5,0.314,6.8,15.2,11.6,212,44,441
2023-01-18 07,57.4,0.364,1.4,17.8,12.5,779,122,1643
2023-01-18 08,56.4,0.445,4.3,23.6,14.7,197,65,1427
2023-01-18 09,49.2,0.407,11.5,28.2,16.3,610,84,540
2023-01-18 10,33.1,0.27,29.8,19.4,11.8,614,121,490
2023-01-18 11,28.6,0.246,37.5,14.4,8.7,643,105,558
2023-01-18 12,23.7,0.213,45.4,11.4,7.1,734,75,552
2023-01-18 13,19,0.187,51.9,10.8,4.6,477,69,388
2023-01-18 14,20.5,0.182,51.4,9.1,3.8,415,84,307
2023-01-18 15,29.7,0.209,41,12,4.8,665,78,553
2023-01-18 16,26.4,0.201,42.1,8.9,5.1,398,97,757
2023-01-18 17,33,0.224,38,6.3,4.4,636,77,750
2023-01-18 18,31.3,0.248,38.3,6.9,5.2,787,85,851
2023-01-18 19,28.9,0.224,39.3,7.6,5.7,577,40,675
2023-01-18 20,29.2,0.223,38.3,10.5,6.6,329,57,256
2023-01-18 21,21.8,0.207,43.9,8.7,5.8,207,69,375
2023-01-18 22,14.6,0.188,49.5,6,5,218,44,235
2023-01-18 23,17.9,0.21,44.6,7.7,5.8,204,53,105
2023-01-19 00,14.1,0.193,46.4,7.8,6.5,117,20,77
2023-01-19 01,12.6,0.184,44.8,8.7,7.2,69,24,59
2023-01-19 02,14.2,0.18,41.7,9.8,8.5,49,25,34
2023-01-19 03,19.5,0.19,36.4,12.1,10.4,42,2,10
2023-01-19 04,23.9,0.21,30.9,13.2,11.5,109,22,40
2023-01-19 05,35.9,0.238,20.2,12.4,10.2,146,66,210
2023-01-19 06,41.1,0.283,14.9,11.1,8.8,239,72,248
2023-01-19 07,49.5,0.31,7.1,10.8,7.5,551,77,1735
2023-01-19 08,48.1,0.331,8.8,16.9,9.9,844,69,1823
2023-01-19 09,46,0.313,9.3,19.5,13.1,647,82,462
2023-01-19 10,39.2,0.359,13.9,22.9,15.3,465,71,604
2023-01-19 11,36.1,0.305,15.3,24.3,17.1,366,60,701
2023-01-19 12,31.9,0.294,18.7,26.2,18.4,824,55,1372
2023-01-19 13,31.9,0.289,18.4,23.9,17.3,687,55,1720
2023-01-19 14,30,0.273,21.8,20.4,14.6,652,14,1020
2023-01-19 15,30.5,0.26,21.6,18.1,13.6,729,28,847
2023-01-19 16,35.8,0.321,15.5,16.9,14.4,609,24,1608
2023-01-19 17,41.4,0.327,9.6,13.8,12.5,568,20,1011
2023-01-19 18,37.6,0.297,13.8,7.5,6.4,671,30,729
2023-01-19 19,45.9,0.361,5.8,10.9,9.8,568,23,116
2023-01-19 20,41.2,0.352,8.5,13.6,12.5,309,55,388
2023-01-19 21,37.5,0.346,9.3,18.7,18.1,385,44,572
2023-01-19 22,28.4,0.278,22.2,15.2,14.6,143,30,409
2023-01-19 23,18.5,0.229,34.4,12.4,11.7,295,46,272
2023-01-20 00,15.4,0.202,40.9,12.7,11.5,40,15,124
2023-01-20 01,16.8,0.192,40.7,12.2,11.2,97,12,50
2023-01-20 02,18.7,0.227,36.3,15.3,14.1,29,24,15
2023-01-20 03,16.5,0.213,38.1,13.1,12.1,41,18,16
2023-01-20 04,18.8,0.206,35,12.5,11.4,93,30,61
2023-01-20 05,28.5,0.234,23.4,11.8,10.6,132,38,108
2023-01-20 06,46.2,0.278,6.7,14.9,13.5,233,113,396
2023-01-20 07,54.3,0.358,1.4,17.9,15,319,81,1184
2023-01-20 08,52.7,0.36,4.6,20.5,14.2,409,81,1527
2023-01-20 09,42.1,0.283,22.3,17.2,10.3,324,87,545
2023-01-20 10,37.6,0.242,32.3,13.7,7.3,476,83,528
2023-01-20 11,31.4,0.234,36.2,13.1,7.7,549,49,216
2023-01-20 12,24,0.213,43.5,12.8,7.8,529,66,504
2023-01-20 13,22.7,0.202,44.2,13.7,7.4,288,87,146
2023-01-20 14,28.3,0.212,39.6,14.4,6.7,337,81,678
2023-01-20 15,33.6,0.221,35,12.7,6.3,397,61,672
2023-01-20 16,42.2,0.242,26.2,11.4,6.6,680,56,942
2023-01-20 17,50.6,0.289,18.4,11.7,7.4,655,78,519
2023-01-20 18,49.8,0.315,21.2,14.1,8.8,507,68,498
2023-01-20 19,44.6,0.328,25.3,16,10.7,525,62,327
2023-01-20 20,34.2,0.279,32.5,15.3,10.8,336,50,468
2023-01-20 21,31,0.282,32.5,14.9,10.7,348,16,249
2023-01-20 22,28.2,0.272,33.1,13.4,9.9,281,37,257
2023-01-20 23,23.2,0.235,37.2,11.6,8.7,254,55,250
2023-01-21 00,21.6,0.216,37.8,10.4,7.7,109,53,70
2023-01-21 01,13.8,0.182,49.2,9,6.8,37,2,191
2023-01-21 02,11.6,0.171,52.5,9.8,8.2,73,12,12
2023-01-21 03,13.5,0.19,43.5,10.3,9.3,31,48,18
2023-01-21 04,18.8,0.211,31.2,13,11.9,71,50,47
2023-01-21 05,20,0.209,29.6,14.2,12.3,95,11,93
2023-01-21 06,26.8,0.229,21.4,15.4,14.4,95,69,64
2023-01-21 07,27.9,0.238,18.6,19.1,17.7,162,54,266
2023-01-21 08,26.4,0.258,21.1,22.3,20.8,146,50,413
2023-01-21 09,22.4,0.275,26.5,25.3,22.9,137,49,429
2023-01-21 10,22.8,0.288,28.1,27,24,285,49,577
2023-01-21 11,20,0.27,33.8,25.2,22.4,490,52,257
2023-01-21 12,17.6,0.259,39.1,25.7,22.2,446,47,537
2023-01-21 13,18.2,0.262,40.1,25.4,22.6,516,42,601
2023-01-21 14,20.2,0.258,39.6,25.8,22.6,365,59,749
2023-01-21 15,21,0.249,41.6,23,19,454,38,899
2023-01-21 16,30.4,0.272,33.7,22.3,18.7,606,64,856
2023-01-21 17,40.2,0.3,21.9,26.1,21.4,374,35,303
2023-01-21 18,38.9,0.309,18.9,30.9,26.9,550,40,412
2023-01-21 19,38,0.331,17.4,35.4,32,339,50,338
2023-01-21 20,32.9,0.337,20,37.7,34.7,324,74,297
2023-01-21 21,28.5,0.316,24,36.2,33.7,358,57,138
2023-01-21 22,20.4,0.257,33,27.6,26.1,158,58,198
2023-01-21 23,18.4,0.255,34.2,23.8,22.5,16,5,0
2023-01-22 00,15.4,0.243,36.8,23.9,22.8,14,0,0
2023-01-22 01,15.1,0.24,35.7,25.2,23.8,8,0,0
2023-01-22 02,13.5,0.23,37.1,25.7,24.4,7,0,0
2023-01-22 03,14.2,0.237,35.8,27.8,26.7,2,1,0
2023-01-22 04,13.8,0.216,37.7,24.2,23.3,3,2,0
2023-01-22 05,18.2,0.218,35.6,21.5,20.6,2,0,0
2023-01-22 06,20.8,0.223,31.6,21.7,20.9,1,9,0
2023-01-22 07,23.8,0.235,26.5,22.4,21,0,10,0
2023-01-22 08,19.6,0.232,30.5,20.2,18.8,,,
2023-01-22 09,16.5,0.226,34.7,20,18,7,9,0
2023-01-22 10,18.3,0.227,35.2,18.8,17.2,14,8,0
2023-01-22 11,19.3,0.227,37.8,18.1,15.5,21,11,0
2023-01-22 12,20.1,0.226,38.2,18.7,15.6,15,9,0
2023-01-22 13,20.1,0.22,40.7,16.1,13.5,25,12,0
2023-01-22 14,18.3,0.211,43.4,14.8,11.4,22,6,0
2023-01-22 15,20.7,0.222,40.8,15.8,12.7,,,
2023-01-22 16,22.7,0.234,37,16.6,14.3,,,
2023-01-22 17,25.6,0.252,32.6,19.6,16.6,,,
2023-01-22 18,27,0.252,29.2,20.7,18.9,,,
2023-01-22 19,28.1,0.264,26.4,22.3,20.3,,,
2023-01-22 20,25.5,0.258,26.4,23.3,21.3,,,
2023-01-22 21,22.9,0.242,27.9,21.7,20.3,,,
2023-01-22 22,18.1,0.227,30,20.7,19.4,,,
2023-01-22 23,16.3,0.22,29.3,21.9,20.6,144,20,42
2023-01-23 00,16.8,0.224,27.3,22.7,21.9,57,21,36
2023-01-23 01,16.8,0.222,25.9,22.9,22,30,19,23
2023-01-23 02,16.4,0.22,25.8,22.7,21.8,33,15,15
2023-01-23 03,16.5,0.225,24.4,22.9,21.8,22,26,16
2023-01-23 04,18.2,0.235,22.1,22.5,21.7,20,30,63
2023-01-23 05,24.2,0.247,15.9,23.1,21.8,146,71,116
2023-01-23 06,27.5,0.248,12.8,21.8,19.6,187,59,236
2023-01-23 07,29.4,0.259,10.3,23.7,20.2,612,74,914
2023-01-23 08,31.8,0.282,8,29.1,22.4,598,107,1617
2023-01-23 09,29.6,0.288,10.2,30.7,22.8,266,83,245
2023-01-23 10,28.4,0.295,10.7,30.4,22,413,73,327
2023-01-23 11,27.7,0.287,13.8,25.6,20.8,500,46,193
2023-01-23 12,25.7,0.28,15.8,24.9,19.5,589,94,364
2023-01-23 13,25.8,0.284,15.2,27.2,19.5,557,101,376
2023-01-23 14,23.1,0.272,18.4,20.6,15,462,85,327
2023-01-23 15,26.1,0.28,16.6,18.4,14,561,90,423
2023-01-23 16,24.6,0.271,20.3,17.5,13.5,359,66,720
2023-01-23 17,22.7,0.275,22.5,17.1,14.8,581,33,834
2023-01-23 18,27.3,0.293,18.4,19.6,17.3,482,53,1280
2023-01-23 19,27.8,0.295,19.7,19.7,17.1,287,106,686
2023-01-23 20,25.8,0.293,21.9,18.3,16.4,275,70,186
2023-01-23 21,20.7,0.273,25.1,16.1,14.7,325,43,101
2023-01-23 22,20.2,0.271,25.8,15.1,14,134,41,207
2023-01-23 23,19.1,0.266,25.8,16.1,14.9,117,39,110
2023-01-24 00,20,0.266,22.5,19,17.6,87,24,33
2023-01-24 01,18.8,0.266,23,20.7,19.1,44,16,5
2023-01-24 02,19,0.265,22.8,21.4,19.9,25,18,11
2023-01-24 03,20.5,0.263,22.1,20.8,19.6,40,25,13
2023-01-24 04,20,0.252,23,21.4,20.4,74,28,24
2023-01-24 05,,0.255,20.2,21.1,19.9,102,52,101
2023-01-24 06,26.2,0.261,16.9,22.2,20.2,189,85,273
2023-01-24 07,33.9,0.282,8.8,27.9,23.1,753,99,762
2023-01-24 08,34.5,0.295,8.3,30.8,24.3,1051,85,1268
2023-01-24 09,33.4,0.293,9.8,31,25.1,360,63,625
2023-01-24 10,33.3,0.295,11.9,34,25.2,488,106,465
2023-01-24 11,31.3,0.297,16.2,31.3,24.4,499,84,672
2023-01-24 12,29.3,0.288,20,33.8,25.1,648,37,348
2023-01-24 13,29,0.287,19.2,32.6,25,499,92,457
2023-01-24 14,32.6,0.29,15.8,32.7,24.4,313,73,343
2023-01-24 15,35.2,0.294,13.8,29.7,23.2,195,90,659
2023-01-24 16,30.4,0.272,19.6,25,21.2,628,102,915
2023-01-24 17,35,0.295,16.8,24.5,21.2,659,81,1304
2023-01-24 18,34.9,0.312,17.5,25.4,21.6,673,65,1310
2023-01-24 19,32.5,0.296,19,25.9,22.4,522,28,331
2023-01-24 20,31.1,0.304,19.9,26,22.8,323,68,432
2023-01-24 21,25.9,0.288,23.5,24.5,21.9,197,53,481
2023-01-24 22,24.9,0.291,21.3,25.2,22.4,127,28,216
2023-01-24 23,24.4,0.283,18.6,26.2,24.5,156,30,133
2023-01-25 00,22.2,0.266,21.4,25.6,24,51,25,57
2023-01-25 01,20.9,0.265,22.3,25.9,23.7,6,14,57
2023-01-25 02,21.2,0.256,21.9,26.8,24.4,26,30,20
2023-01-25 03,23.1,0.26,18.1,29,26.5,44,17,17
2023-01-25 04,25.7,0.258,15.3,28.5,26.8,65,12,28
2023-01-25 05,30,0.254,14.3,22.8,21.4,118,57,44
2023-01-25 06,23.6,0.233,24.4,14.2,13.2,209,87,400
2023-01-25 07,22.4,0.232,24.9,12.5,11.2,699,124,1673
2023-01-25 08,25,0.238,22.5,15.5,12.6,871,93,1337
2023-01-25 09,26.9,0.245,21.6,19.9,14.6,474,96,306
2023-01-25 10,28.7,0.261,21.2,20.8,14.6,518,103,193
2023-01-25 11,27,0.258,21.8,22.6,17.9,726,69,158
2023-01-25 12,29.1,0.271,17.7,28.5,24.3,547,87,424
2023-01-25 13,33.5,0.276,14.8,32.2,25,621,50,189
2023-01-25 14,37.4,0.287,9.9,39.5,31.7,497,63,109
2023-01-25 15,39.6,0.301,5.8,47,38,508,90,267
2023-01-25 16,38,0.305,7.1,42.1,36.2,629,90,787
2023-01-25 17,32.1,0.321,12.9,39.2,35.2,693,46,1252
2023-01-25 18,29.5,0.358,14.2,43.9,39.9,755,44,1041
2023-01-25 19,29.2,0.333,17.2,44.4,40.4,502,78,225
2023-01-25 20,28.9,0.316,19.2,41.9,39,346,71,410
2023-01-25 21,29.3,0.302,21.8,38.3,36.1,303,41,235
2023-01-25 22,26,0.291,26.7,35.3,33.1,170,58,305
2023-01-25 23,27.2,0.293,26.7,33,30.8,121,37,36
2023-01-26 00,36.4,0.321,16.5,35.5,33,45,30,43
2023-01-26 01,43.8,0.35,6.5,37.7,35.3,54,16,47
2023-01-26 02,46.7,0.34,1.7,42,39.1,39,19,6
2023-01-26 03,40,0.338,5.9,37.1,35.4,22,6,16
2023-01-26 04,37.3,0.343,5.5,35.3,34.2,59,16,0
2023-01-26 05,42.9,0.36,0.7,34.4,33.4,119,57,16
2023-01-26 06,44.5,0.412,0.1,34.5,33.2,205,95,12
2023-01-26 07,46.6,0.483,0.3,33.7,31.8,327,81,1604
2023-01-26 08,51.2,0.548,0.9,35.9,31.7,284,116,964
2023-01-26 09,50.3,0.541,1.7,35.3,29.5,515,77,455
2023-01-26 10,43.3,0.454,3.7,33.1,25.2,624,62,258
2023-01-26 11,42.6,0.459,5,29.7,24,347,36,564
2023-01-26 12,33.9,0.421,5.3,23.5,20,586,93,644
2023-01-26 13,30.9,0.402,4.7,15.5,11.9,366,48,420
2023-01-26 14,34.3,0.387,3.7,12.8,10.1,491,61,463
2023-01-26 15,42.4,0.383,2,12.8,10.2,359,46,352
2023-01-26 16,52.5,0.367,2.9,17.1,12.9,394,87,408
2023-01-26 17,51.8,0.302,18.1,19.2,14.2,511,36,888
2023-01-26 18,28.6,0.232,48.3,14.3,10,733,95,853
2023-01-26 19,40.9,0.281,34.5,17.1,12.9,268,50,558
2023-01-26 20,37.3,0.303,33.8,21.1,16.7,402,50,442
2023-01-26 21,25.3,0.236,44.8,15.7,12.3,262,61,451
2023-01-26 22,21.2,0.21,49.2,12.3,8.9,172,56,199
2023-01-26 23,21,0.2,48.6,11.3,8.2,104,49,184
2023-01-27 00,18.1,0.192,51.2,10.5,7.9,127,21,111
2023-01-27 01,15.3,0.171,54.5,10.2,6.3,49,27,49
2023-01-27 02,12.2,0.163,58.3,10.5,6.3,38,19,74
2023-01-27 03,12.9,0.159,58,9.8,6,25,28,32
2023-01-27 04,19.6,0.159,51.2,9,5.9,64,23,55
2023-01-27 05,25.9,0.167,47.2,10.2,6,97,69,32
2023-01-27 06,32.6,0.171,43,10.9,6.1,229,70,87
2023-01-27 07,32.8,0.182,42,12.7,6.9,299,102,887
2023-01-27 08,32.7,0.196,40,18.1,8.7,334,63,898
2023-01-27 09,30,0.192,42.8,17.6,9.5,227,84,130
2023-01-27 10,23.3,0.183,49.7,15.5,8.7,130,26,234
2023-01-27 11,19.5,0.182,52.1,13.7,9,222,91,503
2023-01-27 12,23.7,0.198,46.3,15.7,10.6,506,65,698
2023-01-27 13,20.5,0.186,47.6,14.5,9.8,397,96,615
2023-01-27 14,22.2,0.189,43.6,14.6,7.6,178,53,364
2023-01-27 15,23,0.192,40.4,12,8.3,225,55,358
2023-01-27 16,24.6,0.206,37.2,12.4,9.2,165,49,497
2023-01-27 17,27.7,0.219,32.6,13.6,10.2,597,49,1275
2023-01-27 18,30.5,0.236,27.5,14.6,12.3,566,26,616
2023-01-27 19,30.4,0.244,26.1,15.4,13.2,522,97,332
2023-01-27 20,27.4,0.229,27,14.8,13,226,69,200
2023-01-27 21,23.9,0.217,26.7,14.9,12.6,304,45,53
2023-01-27 22,22.1,0.211,25.5,15,12.7,206,23,335
2023-01-27 23,21.7,0.212,24.1,16.1,13.9,193,31,289
2023-01-28 00,20.4,0.205,26.2,15.5,13.9,130,39,226
2023-01-28 01,18,0.196,31.3,14.4,12.7,86,46,171
2023-01-28 02,15.7,0.185,34.5,13.4,12.4,65,2,97
2023-01-28 03,16.5,0.181,34.3,14.6,13.2,22,25,39
2023-01-28 04,16.4,0.177,34.9,14,13,49,39,33
2023-01-28 05,20.1,0.188,31.4,15.5,14.1,100,34,56
2023-01-28 06,21.6,0.193,29.6,16.9,15,46,29,5
2023-01-28 07,21.2,0.191,31.4,16.8,14.5,160,20,195
2023-01-28 08,21.7,0.195,33.2,16.6,14.2,130,48,184
2023-01-28 09,20.6,0.201,36.4,17,14.1,233,77,458
2023-01-28 10,18.8,0.199,40.4,17.3,14.1,328,41,564
2023-01-28 11,17.5,0.193,43.3,17.1,14.2,384,37,506
2023-01-28 12,16.4,0.188,46.2,18.1,15.1,233,53,243
2023-01-28 13,15,0.182,49.7,18.9,15.5,361,53,731
2023-01-28 14,16.8,0.181,48.9,19,15,465,43,478
2023-01-28 15,14.7,0.174,50.4,18.7,15.2,443,9,424
2023-01-28 16,20.2,0.192,43.5,20.3,16.4,210,27,436
2023-01-28 17,19.5,0.197,43.5,21.1,17.8,221,34,700
2023-01-28 18,25.4,0.223,37.4,23.6,20.9,218,39,271
2023-01-28 19,19,0.206,45.5,23.3,20.8,437,52,268
2023-01-28 20,20.4,0.21,44.4,24.5,22.1,234,73,403
2023-01-28 21,20.7,0.204,44.1,22.8,21.1,165,53,39
2023-01-28 22,23.7,0.208,41.3,23.7,21,49,29,225
2023-01-28 23,17.2,0.183,46,23,20.8,94,24,90
2023-01-29 00,21,0.195,40,23.7,21.6,119,26,233
2023-01-29 01,34,0.224,29.4,25.7,23.1,94,40,199
2023-01-29 02,36.5,0.261,24.3,26.7,24.3,22,20,90
2023-01-29 03,39.8,0.282,20.7,26,24,29,37,15
2023-01-29 04,48.2,0.335,11.1,26.8,24.1,40,2,27
2023-01-29 05,58.5,0.4,1.5,27.5,25,26,3,19
2023-01-29 06,53.9,0.322,6.2,26,23.4,29,27,20
2023-01-29 07,50.9,0.357,9.6,24.1,21.8,49,52,111
2023-01-29 08,54.3,0.515,5.2,29.1,25.8,32,15,192
2023-01-29 09,50.8,0.49,11.1,32.2,29.1,43,17,403
2023-01-29 10,45.3,0.437,19.3,36.1,30.4,163,48,34
2023-01-29 11,24.6,0.288,45.6,26.1,22,183,42,328
2023-01-29 12,13.7,0.197,62,14.3,11.1,109,23,493
2023-01-29 13,13.3,0.181,63.3,11.9,9,210,64,400
2023-01-29 14,17.4,0.191,59.2,14.1,10.4,256,70,610
2023-01-29 15,19.3,0.195,56.3,18.3,12.3,63,18,420
2023-01-29 16,25.9,0.213,49,18.2,12.4,65,58,422
2023-01-29 17,28.6,0.236,44.8,22.3,15.5,70,56,777
2023-01-29 18,24.8,0.229,47.6,19.8,15.4,107,54,495
2023-01-29 19,25.5,0.248,45,19.8,16.3,35,17,181
2023-01-29 20,26.2,0.257,41.1,20.5,17.6,43,41,305
2023-01-29 21,21.6,0.246,42.8,20.4,17.4,60,41,151
2023-01-29 22,18.8,0.221,43.9,20.1,16.7,33,0,66
2023-01-29 23,15.6,0.207,44.4,19,16.7,75,43,66
2023-01-30 00,16.2,0.205,42.6,19.1,17.2,68,12,36
2023-01-30 01,14.5,0.19,42.1,17.8,15.6,25,27,37
2023-01-30 02,15.1,0.19,40.2,17,15.2,37,29,11
2023-01-30 03,13.3,0.189,41.2,16.4,14.7,27,19,13
2023-01-30 04,16.6,0.188,37.9,15.3,14.1,49,21,57
2023-01-30 05,22.2,0.194,33.6,14.9,13.7,112,29,101
2023-01-30 06,31.3,0.205,24.9,13.9,12.7,193,70,174
2023-01-30 07,35.4,0.226,23,13.8,11.5,442,102,1688
2023-01-30 08,39.6,0.251,20.1,14.1,10.6,563,110,1587
2023-01-30 09,38.4,0.245,21.3,14.1,10.2,412,68,114
2023-01-30 10,32,0.225,28.1,12.7,8.7,149,101,193
2023-01-30 11,25.7,0.205,34.5,9.2,6.7,520,81,596
2023-01-30 12,25.6,0.209,34.3,9.2,6.8,464,72,294
2023-01-30 13,24.1,0.199,36.9,11,6.9,521,66,187
2023-01-30 14,26.8,0.211,33.5,12.6,7.1,303,46,227
2023-01-30 15,32.3,0.229,30.9,15.9,8.5,281,85,568
2023-01-30 16,28,0.221,43.5,15.4,8.4,404,54,412
2023-01-30 17,36,0.256,38.3,14.5,7.4,595,65,1328
2023-01-30 18,44.9,0.303,29.7,15.7,8.9,631,91,1265
2023-01-30 19,46.9,0.321,27.8,17.5,11.5,417,65,677
